ID,name,year,mileage,engine,transmission,age,price
2631,kia sportage,2015,37709,Petrol,Manual,8,10970.0
363,seat leon,2017,21249,Petrol,Manual,6,13980.0
1735,honda cr-v,2014,101369,Diesel,Manual,9,8995.0
2658,hyundai kona,2020,5355,Hybrid,Automatic,3,21995.0
669,audi a3,2015,59368,Diesel,Manual,8,9999.0
1754,ford fiesta,2014,71770,Diesel,Manual,9,6250.0
2134,volkswagen polo,2019,8321,Petrol,Manual,4,14290.0
98,volkswagen touran,2020,8363,Diesel,Manual,3,24490.0
584,ford focus,2018,9388,Petrol,Manual,5,14195.0
1630,peugeot 108,2014,34696,Petrol,Manual,9,4490.0
2038,honda jazz,2012,45000,Petrol,Manual,11,6495.0
2464,peugeot 3008,2017,33896,Petrol,Semiautomatic,6,18500.0
860,ford ecosport,2018,23900,Petrol,Automatic,5,16995.0
975,nissan qashqai,2020,5915,Petrol,Manual,3,21000.0
1090,skoda fabia,2014,59403,Petrol,Automatic,9,5795.0
1153,peugeot 208,2019,18337,Petrol,Manual,4,10295.0
2696,hyundai tucson,2018,21780,Petrol,Manual,5,17995.0
1718,kia sportage,2016,57000,Diesel,Automatic,7,16845.0
1079,vauxhall corsa,2012,29254,Petrol,Manual,11,5095.0
2401,renault kadjar,2017,51902,Diesel,Semiautomatic,6,12950.0
2156,volkswagen golf,2017,41584,Diesel,Manual,6,13000.0
2197,vauxhall mokka x,2019,11931,Petrol,Manual,4,15700.0
1608,toyota auris,2014,43454,Petrol,Manual,9,6700.0
1769,fiat 500,2014,40000,Petrol,Manual,9,5000.0
1991,nissan juke,2010,91600,Petrol,Manual,13,4995.0
2613,land rover range rover evoque,2019,15795,Diesel,Manual,4,27790.0
1768,fiat 500,2012,51942,Petrol,Manual,11,4219.0
888,volkswagen golf,2016,48497,Petrol,Manual,7,10495.0
1806,audi a1,2019,19274,Petrol,Semiautomatic,4,19785.0
2449,peugeot 208,2016,23670,Petrol,Manual,7,8499.0
2277,toyota corolla,2020,3666,Hybrid,Automatic,3,25800.0
2300,suzuki swift,2018,7223,Petrol,Manual,5,8974.0
2716,honda cr-v,2018,43046,Petrol,Automatic,5,20500.0
1091,skoda fabia,2015,16711,Petrol,Manual,8,7999.0
1039,audi a4,2019,12899,Petrol,Manual,4,25850.0
2792,ford ecosport,2021,2145,Petrol,Manual,2,19470.0
1829,vauxhall vivaro,2021,5,Diesel,Manual,2,19996.0
467,mercedes-benz a-class,2019,17101,Diesel,Semiautomatic,4,25390.0
2329,skoda superb,2021,10,Petrol,Semiautomatic,2,28495.0
2828,ford kuga,2014,66470,Diesel,Manual,9,9500.0
2574,mercedes-benz c-class,2019,30202,Petrol,Semiautomatic,4,29980.0
1258,toyota yaris,2011,61255,Petrol,Manual,12,4489.0
1799,bmw 3 series,2016,56082,Diesel,Manual,7,12995.0
2077,ford fiesta,2018,16768,Diesel,Manual,5,10195.0
2144,volkswagen polo,2019,11329,Petrol,Semiautomatic,4,15990.0
205,vauxhall insignia,2016,54139,Diesel,Automatic,7,10295.0
2586,mercedes-benz a-class,2021,1003,Petrol,Semiautomatic,2,28980.0
1691,mercedes-benz c-class,2015,42192,Diesel,Automatic,8,13500.0
2516,nissan navara,2019,39892,Diesel,Automatic,4,22500.0
897,vauxhall adam,2015,37147,Petrol,Manual,8,6499.0
656,audi a3,2018,31541,Diesel,Manual,5,21480.0
1662,mini countryman,2011,115737,Diesel,Manual,12,4989.0
1431,bmw x1,2011,60557,Diesel,Automatic,12,9695.0
1256,toyota yaris,2015,51000,Hybrid,Automatic,8,8990.0
